Diagnosed Diabetes; 65-74 (Age); Adults with Diabetes; Percentage; U.S. States; 2015
Data downloaded on 26-April-2019
State,Percentage,Lower Limit, Upper Limit
Median of States,22.5,21.5,23.7
Alabama,28.3,25.6,31.2
Alaska,19.8,14.2,27.0
Arizona,20.0,17.7,22.5
Arkansas,23.9,20.7,27.4
California,24.0,21.0,27.3
Colorado,17.3,15.3,19.4
Connecticut,20.0,17.9,22.3
Delaware,22.7,19.3,26.5
District of Columbia,19.2,15.8,23.2
Florida,22.6,20.2,25.2
Georgia,25.2,21.9,28.7
Hawaii,15.4,13.0,18.2
Idaho,20.1,17.2,23.3
Illinois,28.1,24.3,32.1
Indiana,22.7,19.7,25.9
Iowa,20.7,18.0,23.7
Kansas,23.5,22.0,25.0
Kentucky,27.5,23.9,31.5
Louisiana,29.8,26.1,33.8
Maine,19.4,16.9,22.2
Maryland,22.0,19.5,24.8
Massachusetts,18.5,15.7,21.6
Michigan,22.8,20.4,25.4
Minnesota,17.0,15.5,18.7
Mississippi,32.0,28.6,35.7
Missouri,23.5,20.8,26.5
Montana,17.1,14.4,20.2
Nebraska,19.7,17.9,21.8
Nevada,21.2,16.1,27.2
New Hampshire,20.1,17.7,22.7
New Jersey,23.6,20.6,26.7
New Mexico,22.3,18.9,26.1
New York,22.5,20.2,25.0
North Carolina,24.0,21.1,27.2
North Dakota,21.2,18.1,24.7
Ohio,23.7,21.4,26.3
Oklahoma,24.3,21.6,27.2
Oregon,21.2,18.4,24.4
Pennsylvania,25.3,21.8,29.1
Rhode Island,20.4,17.6,23.6
South Carolina,25.4,23.1,27.8
South Dakota,17.6,14.7,21.0
Tennessee,23.5,20.6,26.7
Texas,25.9,22.7,29.3
Utah,21.1,18.5,23.8
Vermont,16.2,13.9,18.8
Virginia,25.0,21.5,28.8
Washington,20.1,18.2,22.0
West Virginia,25.0,22.2,28.0
Wisconsin,18.8,15.8,22.1
Wyoming,20.1,17.2,23.4
Guam,30.7,21.3,41.9
Puerto Rico,36.1,32.5,39.8
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
