Overweight or Obesity; Total; Adults with Diabetes; Age-Adjusted Percentage; U.S. States; 2015
Data downloaded on 29-April-2019
State,Percentage,Lower Limit, Upper Limit
Median of States,86.5,84.7,86.8
Alabama,89.0,84.5,92.4
Alaska,88.6,77.3,94.7
Arizona,84.2,76.2,89.9
Arkansas,87.3,76.0,93.7
California,79.1,73.6,83.6
Colorado,79.2,70.3,85.9
Connecticut,85.6,79.2,90.3
Delaware,84.4,72.8,91.6
District of Columbia,88.8,79.9,94.1
Florida,84.2,77.6,89.2
Georgia,86.5,78.5,91.8
Hawaii,86.2,81.9,89.6
Idaho,90.2,84.6,93.9
Illinois,83.2,73.9,89.7
Indiana,83.4,72.7,90.4
Iowa,83.2,70.3,91.2
Kansas,86.5,82.7,89.5
Kentucky,90.0,85.7,93.1
Louisiana,81.0,70.2,88.5
Maine,91.0,85.2,94.6
Maryland,86.8,79.2,92.0
Massachusetts,79.0,68.5,86.6
Michigan,86.3,80.6,90.5
Minnesota,83.2,77.6,87.7
Mississippi,89.1,84.3,92.5
Missouri,81.3,71.2,88.4
Montana,89.7,79.7,95.1
Nebraska,86.7,79.9,91.5
Nevada,75.0,59.7,85.9
New Hampshire,91.5,85.4,95.2
New Jersey,80.0,70.3,87.1
New Mexico,84.6,76.2,90.4
New York,84.1,78.3,88.5
North Carolina,88.7,81.2,93.4
North Dakota,86.0,74.4,92.9
Ohio,86.9,80.7,91.4
Oklahoma,91.0,87.4,93.6
Oregon,87.3,78.4,92.8
Pennsylvania,89.5,82.6,93.9
Rhode Island,90.7,85.4,94.2
South Carolina,84.4,78.7,88.8
South Dakota,89.6,83.3,93.8
Tennessee,89.1,81.9,93.6
Texas,89.5,85.1,92.7
Utah,83.7,77.4,88.4
Vermont,89.2,83.2,93.3
Virginia,78.7,71.2,84.7
Washington,87.0,81.5,91.0
West Virginia,84.4,78.6,88.9
Wisconsin,89.7,80.2,95.0
Wyoming,87.0,74.6,93.8
Guam,83.8,71.9,91.3
Puerto Rico,80.4,73.1,86.0
Virgin Islands of the U.S.,No Data,No Data,No Data
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
