"","Location","Total Cost($)","Cost Per Drink($)","Cost Per Capital($)"
"1","Alabama",3724300000,2.27,779
"2","Alaska",827200000,2.25,1165
"3","Arizona",5946400000,2.27,930
"4","Arkansas",2073300000,2.27,711
"5","California",35010600000,2.44,940
"6","Colorado",5056500000,2.14,1005
"7","Connecticut",3.029e+09,2.04,847
"8","Delaware",803800000,1.64,895
"9","District of Columbia",918400000,2.14,1526
"10","Florida",15322200000,1.82,815
"11","Georgia",6930900000,2.12,715
"12","Hawaii",937400000,1.58,689
"13","Idaho",1137900000,1.62,726
"14","Illinois",9715700000,1.86,757
"15","Indiana",4468200000,1.96,689
"16","Iowa",1933600000,1.59,635
"17","Kansas",2075800000,2.18,728
"18","Kentucky",3194500000,2.36,736
"19","Louisiana",3801400000,1.91,839
"20","Maine",938700000,1.58,707
"21","Maryland",4964700000,2.22,860
"22","Massachusetts",5634600000,1.93,861
"23","Michigan",8161700000,2.1,826
"24","Minnesota",3886400000,1.74,733
"25","Mississippi",2277400000,2.05,768
"26","Missouri",4603600000,1.83,769
"27","Montana",870800000,1.73,880
"28","Nebraska",1166500000,1.61,639
"29","Nevada",2296300000,1.49,850
"30","New Hampshire",959900000,0.92,729
"31","New Jersey",6175200000,1.7,702
"32","New Mexico",2232900000,2.77,1084
"33","New York",16330200000,2.28,843
"34","North Carolina",7034200000,2.11,738
"35","North Dakota",487600000,1.4,725
"36","Ohio",8519800000,2.1,739
"37","Oklahoma",3081200000,2.49,821
"38","Oregon",3520200000,2.08,919
"39","Pennsylvania",9544200000,1.92,751
"40","Rhode Island",886500000,1.82,842
"41","South Carolina",3982900000,2.13,861
"42","South Dakota",598200000,1.59,735
"43","Tennessee",4683800000,2.25,738
"44","Texas",18820600000,1.99,748
"45","Utah",1636100000,2.74,592
"46","Vermont",5.13e+08,1.66,820
"47","Virginia",6.126e+09,2.06,766
"48","Washington",5805100000,2.23,863
"49","West Virginia",1334900000,2.2,720
"50","Wisconsin",4452900000,1.62,783
"51","Wyoming",593100000,2.33,1052
