Fair or Poor General Health; Total; Adults with Diabetes; Age-Adjusted Percentage; U.S. States; 2016
Data downloaded on 23-April-2019
State,Percentage,Lower Limit, Upper Limit
Median of States,44.2,41.5,45.5
Alabama,50.2,43.2,57.2
Alaska,45.0,31.5,59.3
Arizona,42.5,34.9,50.4
Arkansas,67.8,59.0,75.4
California,46.5,40.5,52.5
Colorado,39.1,32.8,45.9
Connecticut,47.7,39.8,55.7
Delaware,35.3,24.5,47.8
District of Columbia,49.0,38.6,59.6
Florida,46.5,41.2,51.9
Georgia,48.8,39.9,57.8
Hawaii,42.5,34.8,50.5
Idaho,45.7,34.8,57.1
Illinois,50.3,40.4,60.2
Indiana,43.0,36.4,49.8
Iowa,33.6,25.6,42.7
Kansas,42.7,36.1,49.7
Kentucky,45.7,39.3,52.2
Louisiana,46.0,34.7,57.7
Maine,39.2,29.7,49.5
Maryland,43.0,36.7,49.5
Massachusetts,38.3,29.9,47.5
Michigan,39.1,33.2,45.2
Minnesota,33.0,28.0,38.4
Mississippi,46.4,39.1,53.9
Missouri,49.0,39.8,58.4
Montana,38.4,27.4,50.8
Nebraska,37.9,30.7,45.8
Nevada,46.2,36.5,56.1
New Hampshire,38.1,28.2,49.1
New Jersey,54.6,45.6,63.4
New Mexico,45.0,35.8,54.6
New York,46.9,40.7,53.2
North Carolina,45.4,37.9,53.1
North Dakota,37.4,28.9,46.9
Ohio,36.5,29.9,43.7
Oklahoma,50.0,42.2,57.8
Oregon,41.4,32.8,50.5
Pennsylvania,39.4,31.4,48.0
Rhode Island,45.1,33.7,57.1
South Carolina,44.7,38.8,50.7
South Dakota,33.7,23.9,45.0
Tennessee,54.8,46.2,63.1
Texas,43.0,35.1,51.3
Utah,32.7,26.7,39.3
Vermont,43.7,33.9,54.0
Virginia,39.1,32.8,45.8
Washington,35.8,30.2,41.8
West Virginia,47.5,41.2,54.0
Wisconsin,46.5,36.2,57.0
Wyoming,24.0,16.6,33.3
Guam,54.5,42.4,66.1
Puerto Rico,58.2,50.2,65.8
Virgin Islands of the U.S.,33.6,20.9,49.2
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
