Physical Inactivity; Total; Adults with Diabetes; Age-Adjusted Percentage; U.S. States; 2016
Data downloaded on 23-April-2019
State,Percentage,Lower Limit, Upper Limit
Median of States,34.6,33.5,37.2
Alabama,48.3,41.4,55.3
Alaska,30.0,18.3,45.2
Arizona,30.0,24.4,36.4
Arkansas,47.2,35.9,58.9
California,36.6,30.8,42.8
Colorado,27.6,21.9,34.1
Connecticut,33.4,26.8,40.8
Delaware,44.9,31.4,59.2
District of Columbia,31.2,22.7,41.3
Florida,36.2,31.8,41.0
Georgia,42.8,34.1,52.0
Hawaii,31.1,24.7,38.3
Idaho,30.6,21.0,42.2
Illinois,35.0,25.8,45.5
Indiana,41.5,35.1,48.1
Iowa,32.6,24.9,41.4
Kansas,41.4,34.8,48.4
Kentucky,37.9,32.1,44.1
Louisiana,58.6,49.3,67.3
Maine,29.4,21.1,39.3
Maryland,33.4,27.8,39.5
Massachusetts,33.4,25.4,42.6
Michigan,36.7,31.3,42.5
Minnesota,29.6,24.6,35.3
Mississippi,39.3,32.5,46.6
Missouri,36.4,28.5,45.2
Montana,24.6,18.0,32.7
Nebraska,32.9,25.9,40.7
Nevada,37.5,28.3,47.7
New Hampshire,34.3,25.1,44.8
New Jersey,37.8,29.6,46.8
New Mexico,28.3,21.0,37.0
New York,41.0,34.9,47.3
North Carolina,34.6,27.9,42.0
North Dakota,27.7,20.1,36.8
Ohio,34.5,27.8,41.8
Oklahoma,40.5,33.0,48.5
Oregon,37.5,29.1,46.7
Pennsylvania,32.0,25.0,40.0
Rhode Island,29.2,21.6,38.0
South Carolina,41.0,35.3,47.0
South Dakota,29.0,20.6,39.2
Tennessee,41.0,32.7,49.9
Texas,34.6,27.3,42.7
Utah,18.5,15.2,22.3
Vermont,37.1,28.0,47.1
Virginia,33.8,27.6,40.5
Washington,25.4,20.8,30.6
West Virginia,40.0,34.0,46.3
Wisconsin,27.3,19.9,36.1
Wyoming,32.7,20.4,47.9
Guam,38.6,26.8,52.0
Puerto Rico,47.0,39.4,54.7
Virgin Islands of the U.S.,35.6,18.7,57.1
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
