State,No. respondents,None,<1 time/day,>1 time/day
Alaska,4102,25.5,48,26.5
Arizona,3491,28.6,43.9,27.6
California,5871,26.8,49.4,23.8
Connecticut,5871,33.4,47.1,19.5
District of Columbia,4152,26.6,50.7,22.7
Indiana,4486,23.1,42,34.9
Iowa,3696,27.4,42.7,29.9
Kansas,11121,26.3,43.6,30.1
Kentucky,9818,21.8,36.8,41.4
Louisiana,4759,19.1,36.8,44.1
Maryland,11759,28.1,44.4,27.5
Minnesota,12704,30.6,48.1,21.2
Mississippi,6692,16.4,37.4,46.2
Nebraska,7822,24.4,47.1,28.5
New Jersey,3842,34,43,23
New York,3751,30.2,47.3,22.5
North Carolina,3926,19.6,40.1,40.3
Ohio,7316,25.4,43.4,31.2
Oklahoma,3638,19,37.9,43.1
South Carolina,9590,19.8,39.8,40.4
Utah,11428,20.9,51.6,27.5
Vermont,5784,35.8,47.5,16.7
West Virginia,5630,22.4,35.9,41.8
Wisconsin,5500,26.4,46.9,26.7
