State,No. respondents,18-24,25-34,35-54,>=55,Male,Female,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic,"Other, Non-Hispanic"
Alaska,4102,45.9,31.3,25.1,17.1,31.2,21.5,21.1,31.5,26.4,41.4
Arizona,3491,48.8,41.5,27.9,15.7,34.4,21.6,21.5,32.9,39.4,39.1
California,5871,36.4,31.5,23.9,14.9,28.2,19.4,16.3,33.5,36,14.4
Connecticut,5871,30.4,29.1,18,14.3,24.2,15.3,16.6,30.3,31.1,18.4
District of Columbia,4152,43,20.8,20.3,20.5,24.7,20.9,7.5,37.2,16.5,12.7
Indiana,4486,45.2,45.4,37.5,24.6,39.3,30.9,33.5,39.7,43.1,45.6
Iowa,3696,52.5,40.2,31.7,16.3,38.2,22,28.3,49,37.1,63
Kansas,11121,45.3,39.4,32.1,18.7,36,24.6,28.8,32,42.5,28.2
Kentucky,9818,56.8,55.5,44.1,27.9,46.8,36.5,41.4,44.2,36.3,34.6
Louisiana,4759,58.2,55.7,47,31.3,50.6,38.3,41,50.7,41.2,41.2
Maryland,11759,40.8,32.5,28.7,20,32.2,23.3,24.6,34.1,29.8,22.9
Minnesota,12704,33.1,33.8,21.1,11.9,28.3,14.5,20,28.9,38.9,20.5
Mississippi,6692,62.5,57.3,48.1,33.8,48.7,44.1,45,48.7,54.9,39.2
Nebraska,7822,42,40.7,31.3,15.4,35.8,21.7,26.4,36.7,48.7,31.3
New Jersey,3842,46.2,28.6,22.6,13.8,28,18.2,19.9,38.3,29.8,11
New York,3751,25.1,29.6,24.3,16.2,27.1,18.2,17.9,33.7,32.9,17.1
North Carolina,3926,61.7,46.5,42.8,27.4,44.2,36.6,38.5,46,49.9,26.4
Ohio,7316,49.4,44.1,31.9,19.5,37.1,25.7,29.9,41.6,38.1,30.3
Oklahoma,3638,66.4,57.4,45.1,25.9,45.8,40.5,40.9,39.7,53.8,50.5
South Carolina,9590,58.7,51.9,41.4,29.4,46.4,35.1,38.6,45.1,38.5,40.7
Utah,11428,32.6,35.4,27.2,19,34.3,20.9,25.3,36.4,42.1,28.7
Vermont,5784,25.5,24.5,18,10.6,21.7,12.2,16.3,31.9,11.2,29.7
West Virginia,5630,63.8,56.5,48,25.7,47.3,36.5,42,37.1,40,40.3
Wisconsin,5500,44.1,41.6,27.8,14.2,33.1,20.4,24.9,48.2,40.4,25.2
