State,No. respondents,Employed,Not employed,Retired,<High school,High school,Some college,College graduate
Alaska,4102,26.2,32.1,32.1,47.1,34.9,24.2,12.9
Arizona,3491,33,28.7,28.7,40.4,36.5,24.4,14.6
California,5871,22.9,30.2,30.2,38.5,29.9,21.4,11.5
Connecticut,5871,18.9,24.3,24.3,27.8,26.9,19.9,10.2
District of Columbia,4152,18.5,34.6,34.6,45.6,39,28.9,8.4
Indiana,4486,35.9,40.5,40.5,50.7,39.6,33,20.9
Iowa,3696,34.2,33.1,33.1,49.2,34.6,28.8,17.6
Kansas,11121,32.4,35.3,35.3,45.2,37,30.6,17.2
Kentucky,9818,43.4,46.1,46.1,53.4,47,39.7,24
Louisiana,4759,46.9,48.4,48.4,60,48.6,40.7,26.3
Maryland,11759,28,31.5,31.5,40.7,36.9,27.2,15.5
Minnesota,12704,23.5,25,25,30.6,27.1,21.9,12.7
Mississippi,6692,49.7,49.5,49.5,51.1,49.2,47.2,34.9
Nebraska,7822,31.1,30.5,30.5,52.3,37,25.9,14.3
New Jersey,3842,22.7,30.1,30.1,40,29.5,22.2,11.5
New York,3751,23.1,24.6,24.6,31.3,26.1,24.2,13.6
North Carolina,3926,42.1,46,46,52.1,47.2,41.5,23.5
Ohio,7316,32,39,39,44.4,36.6,31.8,16
Oklahoma,3638,46.5,48.2,48.2,51.5,50.8,43.5,24.9
South Carolina,9590,42,46.5,46.5,55.6,46.5,39.1,23.5
Utah,11428,30.3,25.6,25.6,48.5,36.4,25,15.1
Vermont,5784,16.7,21.5,21.5,32.9,21.5,16.9,7.8
West Virginia,5630,46.1,47.7,47.7,47.5,46.6,40.7,26.1
Wisconsin,5500,29.7,30.8,30.8,35.5,32.6,27.6,13.6
